node_id,lat,lon
345351408,16.0410517,108.248853
345351431,16.0216061,108.2579103
345351507,15.9962979,108.2677156
345362354,16.0043688,108.2662507
345362378,16.0032273,108.2650165
345362388,16.002688,108.2642811
345362457,16.002671,108.2597011
345362486,16.0381001,108.2429773
420248261,16.0779172,108.1734964
420248330,16.066124,108.202062
420248349,16.0664337,108.2068999
420248362,16.0718162,108.2242481
420248378,16.0724142,108.1946967
420248398,16.0734039,108.2237718
420248430,16.0724838,108.1969562
420248433,16.0727319,108.1988438
420248485,16.0547006,108.2120177
420248486,16.0558422,108.2126952
420248503,16.0142345,108.2055884
420248523,16.0589278,108.2095513
420248538,16.0710765,108.2012019
420248564,16.05404,108.2190154
420248569,16.053745,108.2190345
420248571,16.0525907,108.2090091
420248577,16.0709564,108.2094252
420248578,16.0678195,108.2249275
420248580,16.0680049,108.2238427
420248581,16.0681759,108.2226917
420248588,16.0682456,108.2203052
420248590,16.0749505,108.2206305
420248596,16.0756468,108.2242765
420248597,16.0744106,108.2180247
420248610,16.0621934,108.2176668
420248612,16.0626944,108.2159202
420248635,16.0637491,108.2241203
420248640,16.0642126,108.218639
420248644,16.0640875,108.2206625
420248648,16.0701817,108.2250954
420248652,16.0703693,108.2228564
420248686,16.0713375,108.1856745
420248714,16.0713596,108.1882278
420248720,16.0675439,108.1821647
420248763,16.0597313,108.2094218
420248766,16.0712198,108.1916226
420248767,16.0649061,108.2235053
420248771,16.065202,108.220731
420248773,16.0652649,108.22004
420248778,16.0662225,108.2224943
420248786,16.06162,108.2196692
420248788,16.0641572,108.2199086
420248791,16.0629783,108.2197887
420248797,16.0694724,108.2054
420248803,16.069772,108.2056553
420248807,16.0687403,108.2049891
420248815,16.0726356,108.2202313
420248816,16.072376,108.21842
420248831,16.06533,108.2194632
420248835,16.0672346,108.2140622
420248841,16.0631176,108.2179618
420248842,16.0676015,108.2158467
420248843,16.064851,108.2165056
420248846,16.0624083,108.21687
420248849,16.0662207,108.2200801
420248855,16.0659938,108.2200814
420248863,16.0705735,108.2205082
420248873,16.0650339,108.2223715
420248874,16.0639276,108.2222463
420248876,16.0715903,108.2227092
420248911,16.0597421,108.2235844
420248918,16.0735051,108.2089356
420248970,16.0686157,108.224976
420248971,16.0683406,108.2192017
420248975,16.0686197,108.2203423
420248990,16.0457227,108.2100352
420248996,16.0561403,108.2171655
420248999,16.0525098,108.217712
420249004,16.0510679,108.2160708
420249005,16.0665413,108.2103234
420249012,16.0498347,108.2146623
420249020,16.0785569,108.2193931
420249022,16.077236,108.2195851
420249023,16.0747855,108.2199381
420249030,16.063829,108.2234071
420249033,16.0598717,108.2111398
420249038,16.0703939,108.2240502
420249042,16.0702593,108.224054
420249058,16.0686002,108.2227472
420249060,16.0686129,108.223924
420249078,16.0544622,108.2118688
420249080,16.0524421,108.2104718
420249081,16.0591525,108.2112331
420249116,16.060856,108.1852853
420249128,16.0648978,108.2241443
420249139,16.0713871,108.2204036
420249144,16.0702168,108.2134997
420249146,16.0694427,108.2097436
420249151,16.0709197,108.2169294
